product name,codes,made to measure,paint to order,cutting & edged,description,quantity,width,depth,price,ex-vat
Handles,Gola,GOPT,Gola - Paint to Order,GOPT-EXTCR90,base unit aluminium external corner connector to rail: 56.5 x 27.5 x 27.5 ,56.5,27.5,27.5,£48.56,£40.47
Handles,Gola,GOPT,Gola - Paint to Order,GOPT-TCAPS,base unit set of aluminium caps for top rail: 56.5 x 27.5 x 2,56.5,27.5,2,£49.64,£41.37
