product name,codes,made to measure,paint to order,cutting & edged,description,quantity,width,depth,price,ex-vat
Handles,Handles,K1NICKEL,Handles - Nickel,K1-258,Square knob - black nickel,30,30,31,£3.97,£3.31
Handles,Handles,K1NICKEL,Handles - Nickel,K1-306,Square knob - brushed satin nickel,32,32,28,£6.89,£5.74
Handles,Handles,K1NICKEL,Handles - Nickel,K1-269,Round knob - brushed nickel,38,38,35,£3.90,£3.25
Handles,Handles,K1NICKEL,Handles - Nickel,K1-198,Round knob - polished nickel,43,37,,£8.86,£7.38
Handles,Handles,K1NICKEL,Handles - Nickel,K1-200,Round knob - brushed satin nickel,43,37,,£8.86,£7.38
Handles,Handles,K1NICKEL,Handles - Nickel,K1-193,Square cup handle - polished nickel,53,31,21,£6.85,£5.71
Handles,Handles,K1NICKEL,Handles - Nickel,K1-263,Rectangular knob - brushed nickel,60,34,20,£3.78,£3.15
Handles,Handles,K1NICKEL,Handles - Nickel,K1-369,Knurled t bar - brushed nickel,60,16,35,£5.23,£4.36
Handles,Handles,K1NICKEL,Handles - Nickel,K1-376,Fluted t bar - brushed nickel,60,16,35,£3.91,£3.26
Handles,Handles,K1NICKEL,Handles - Nickel,K1-384,Square t bar - brushed nickel,60,16,35,£4.62,£3.85
Handles,Handles,K1NICKEL,Handles - Nickel,K1-357,Square cup - bright nickel,78,26,25,£5.23,£4.36
Handles,Handles,K1NICKEL,Handles - Nickel,K1-191,Square cup handle - polished nickel,94,37,23,£13.19,£10.99
Handles,Handles,K1NICKEL,Handles - Nickel,K1-171,Cup with backplate - brushed nickel,97,37,24,£3.98,£3.32
Handles,Handles,K1NICKEL,Handles - Nickel,K1-323,Round cup - brushed nickel,104,27,22,£2.00,£1.67
Handles,Handles,K1NICKEL,Handles - Nickel,K1-255,Square cup handle - satin nickel,124,38,22,£5.08,£4.23
Handles,Handles,K1NICKEL,Handles - Nickel,K1-256,Square cup handle - black nickel,124,38,22,£5.08,£4.23
Handles,Handles,K1NICKEL,Handles - Nickel,K1-272,Round cup handle - brushed nickel,125,35,20,£3.97,£3.31
Handles,Handles,K1NICKEL,Handles - Nickel,K1-324,D handle - brushed nickel,126,20,23,£2.34,£1.95
Handles,Handles,K1NICKEL,Handles - Nickel,K1-52,D handle - brushed nickel,138,24,31,£6.06,£5.05
Handles,Handles,K1NICKEL,Handles - Nickel,K1-174,Cup with backplate - brushed nickel,145,37,24,£5.23,£4.36
Handles,Handles,K1NICKEL,Handles - Nickel,K1-308,Square cup - brushed satin nickel,145,41,27,£10.39,£8.66
Handles,Handles,K1NICKEL,Handles - Nickel,K1-259,Square d handle - satin nickel,153,13,27,£4.87,£4.06
Handles,Handles,K1NICKEL,Handles - Nickel,K1-260,Square d handle - black nickel,153,13,27,£4.87,£4.06
Handles,Handles,K1NICKEL,Handles - Nickel,K1-195,Elongated cup handle - polished nickel,157,31,29,£18.46,£15.38
Handles,Handles,K1NICKEL,Handles - Nickel,K1-197,Elongated cup handle - brushed satin nickel,157,31,29,£18.46,£15.38
Handles,Handles,K1NICKEL,Handles - Nickel,K1-393,Slimline d handle - brushed nickel,168,8,28,£3.67,£3.06
Handles,Handles,K1NICKEL,Handles - Nickel,K1-266,Rounded d handle - brushed nickel,170,15,24,£5.20,£4.33
Handles,Handles,K1NICKEL,Handles - Nickel,K1-358,D handle - bright nickel,172,12,32,£7.68,£6.40
Handles,Handles,K1NICKEL,Handles - Nickel,K1-307,D handle - brushed satin nickel,177,24,28,£6.74,£5.62
Handles,Handles,K1NICKEL,Handles - Nickel,K1-326,Block d handle - brushed nickel,177,20,30,£4.91,£4.09
Handles,Handles,K1NICKEL,Handles - Nickel,K1-321,Bar handle - brushed nickel,186,12,31,£1.37,£1.14
Handles,Handles,K1NICKEL,Handles - Nickel,K1-388,D handle - brushed nickel,186,13.5,30,£7.01,£5.84
Handles,Handles,K1NICKEL,Handles - Nickel,K1-317,D handle - brushed nickel,188,9,27,£3.86,£3.22
Handles,Handles,K1NICKEL,Handles - Nickel,K1-385,Square bar handle - brushed nickel,195,16,35,£8.84,£7.37
Handles,Handles,K1NICKEL,Handles - Nickel,K1-370,Knurled bar - brushed nickel,201,16,35,£10.04,£8.37
Handles,Handles,K1NICKEL,Handles - Nickel,K1-377,Fluted bar handle - brushed nickel,225,16,35,£8.18,£6.82
Handles,Handles,K1NICKEL,Handles - Nickel,K1-394,Slimline d handle - brushed nickel,232,8,28,£4.58,£3.82
Handles,Handles,K1NICKEL,Handles - Nickel,K1-53,D handle - brushed nickel,234,24,31,£8.30,£6.92
Handles,Handles,K1NICKEL,Handles - Nickel,K1-322,Bar handle - brushed nickel,326,12,31,£2.40,£2.00
Handles,Handles,K1NICKEL,Handles - Nickel,K1-371,Knurled bar - brushed nickel,361,16,35,£13.78,£11.48
Handles,Handles,K1PEWTER,Handles - Pewter,K1-104,Round knob - pewter,,,,£6.06,£5.05
Handles,Handles,K1PEWTER,Handles - Pewter,K1-113,Round knob - oak,,,,£5.46,£4.55
Handles,Handles,K1PEWTER,Handles - Pewter,K1-154,Bow handle - pewter,,,,£5.05,£4.21
Handles,Handles,K1PEWTER,Handles - Pewter,K1-157,Cup handle - polished pewter,,,,£3.98,£3.32
Handles,Handles,K1PEWTER,Handles - Pewter,K1-160,Round knob - pewter,,,,£2.71,£2.26
Handles,Handles,K1PEWTER,Handles - Pewter,K1-218,Round knob - antique brown,,28,,£6.82,£5.68
Handles,Handles,K1PEWTER,Handles - Pewter,K1-99,Bow handle - pewter,,,,£3.84,£3.20
Handles,Handles,K1PEWTER,Handles - Pewter,K1-170,Round knob - pewter,38,38,35,£3.70,£3.08
Handles,Handles,K1PEWTER,Handles - Pewter,K1-208,Oval knob - antique brown,60,35,38,£8.02,£6.68
Handles,Handles,K1PEWTER,Handles - Pewter,K1-173,Cup handle - pewter,97,37,24,£3.98,£3.32
Handles,Handles,K1PEWTER,Handles - Pewter,K1-176,Cup handle - pewter,145,37,24,£5.23,£4.36
Handles,Handles,K1PEWTER,Handles - Pewter,K1-214,D handle - antique brown,164,16,30,£9.07,£7.56
