Category,Range,Uform Discount Group,Family,Product code,Description,H,W,D,Price (inc. VAT),Price (ex. VAT)
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-30MMCRPOST,30mm corner post: 720 x 30 x 30,720,30,30,£30.41,£25.34
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-825597,825 x 597,825,597,18,£70.46,£58.72
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-825597FD,825 x 597 with cross rail - top panel height 307mm,825,597,18,£80.99,£67.49
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-MANTLECORLRGKT,large mantle corbal: 850 x 150 x 448 includes 2 fixing brackets,850,100,100,£364.10,£303.42
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-895297,895 x 297,895,297,18,£42.56,£35.47
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-895297FD,895 x 297 with cross rail - top panel height 307mm,895,297,18,£48.91,£40.76
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-895397,895 x 397,895,397,18,£54.66,£45.55
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-895397FD,895 x 397 with cross rail - top panel height 307mm,895,397,18,£62.83,£52.36
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-895447,895 x 447,895,447,18,£61.51,£51.26
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-895447FD,895 x 447 with cross rail - top panel height 307mm,895,447,18,£70.70,£58.92
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-895497,895 x 497,895,497,18,£66.77,£55.64
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-895497FD,895 x 497 with cross rail - top panel height 307mm,895,497,18,£76.74,£63.95
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-895497PF,895 x 497 plain frame,895,497,18,£96.42,£80.35
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-895597,895 x 597,895,597,18,£76.50,£63.75
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-895597FD,895 x 597 with cross rail - top panel height 307mm,895,597,18,£90.65,£75.54
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-18MM9001200BDPN,beaded end panel: 900 x 1200 x 18,900,1200,18,£162.06,£135.05
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-18MM9001200PAN,plain end panel: 900 x 1200 x 18,900,1200,18,£115.07,£95.89
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-18MM900650BDPN,beaded end panel: 900 x 650 x 18,900,650,18,£87.78,£73.15
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-18MM900650PAN,plain end panel: 900 x 650 x 18,900,650,18,£62.30,£51.92
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-900MODPILASTER,modular pilaster: 900 x 75 x 75,900,75,75,£63.56,£52.97
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-18MM960360BDPN,beaded end panel: 960 x 360 x 18,960,360,18,£50.41,£42.01
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-18MM960360PAN,plain end panel: 960 x 360 x 18,960,360,18,£36.44,£30.37
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-980597,980 x 597,980,597,18,£83.78,£69.82
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-1215497PF,1215 x 497 plain frame,1215,497,18,£137.93,£114.94
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-1245297,1245 x 297,1245,297,18,£54.95,£45.79
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-1245397,1245 x 397,1245,397,18,£71.30,£59.42
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-1245497,1245 x 497,1245,497,18,£87.64,£73.03
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-1245597,1245 x 597,1245,597,18,£103.92,£86.60
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-1425297FD,1425 x 297 with cross rail - top panel height 307mm,1425,297,18,£93.47,£77.89
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-1425597FD,1425 x 597 with cross rail - top panel height 307mm,1425,597,18,£160.10,£133.42
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-1965297,1965 x 297,1965,297,18,£101.26,£84.38
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-1965397,1965 x 397,1965,397,18,£131.63,£109.69
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-1965497,1965 x 497,1965,497,18,£171.11,£142.59
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-1965597,1965 x 597,1965,597,18,£185.45,£154.54
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-28MMSHELF,flying shelf: 28 x 2400 x 325,2400,325,28,£186.23,£155.19
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-18MM2430650BDPN,beaded tall end panel: 2430 x 650 x 18,2430,650,18,£252.36,£210.30
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-18MM2430650PAN,plain end panel: 2430 x 650 x 18,2430,650,49,£179.48,£149.57
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-18MM2430910BDPN,beaded tall end panel: 910 x 2430 x 18,2430,910,18,£300.77,£250.64
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-18MM2430910PAN,plain end panel: 910 x 2430 x 18,2430,910,18,£242.90,£202.42
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-2450QUADRANT,quadrant end moulding: 3050 x 50 x 70,2450,70,50,£64.55,£53.79
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-MOULDPLINTH,moulded modern plinth: 150 x 3050 x 20,2450,150,20,£68.45,£57.04
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-FEATPLINTH,feature plinth: 150 x 2500 x 9,2500,150,9,£31.69,£26.41
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-3000POST,tall feature end post: 3000 x 50 x 75,3000,75,50,£79.28,£66.07
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-CORNICE,cornice: 75 x 3050 x 82,3050,82,75,£71.38,£59.48
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-PLINTH,plinth: 150 x 3045 x 18,3050,150,18,£44.18,£36.82
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-SHELFEDGING,edge moulding: 27 x 3050 x 47.5,3050,47.5,27,£54.29,£45.24
Doors & Accessories,Clifden,CFPR,Clifden - Primed,CFPR-UNIMOULDING,universal moulding: 35 x 3050 x 60,3050,60,35,£56.17,£46.81
